Song,Lyrics,Singer
Espasyo,"

Kwento-kwenta, Kwento-kwenta
Kwento-kwenta, Tila kanta

Kwento-kwenta, Kwento-kwenta
Kwento-kwenta, Binibenta

Sa paglapag ng sombrero
Makakapagsulat ako ng alamat
Bigyan lang ako ng espasyo
Bigyan lang ako ng espasyo

Aking kwento ay buhay ko at buhay mo
Aking kwento buhay pilipino,
Buhay pilipino

Kwento-kwenta, Kwento-kwenta
Kwento-kwenta, Tila kanta

Kwento-kwenta, Kwento-kwenta
Kwento-kwenta, Binibenta

Hindi ka pa kuntento
Hindi ka pa kuntento
Hindi ka pa kuntento

Sa eksperimento
Akala mo'y may kwenta
Pero wala pala

Hindi ka pa kuntento
Hindi ka na nasanay
Hindi ka na nasanay
Hindi ka na nasanay
Sa pagbabagong buhay
Akala mo may kwenta pero wala pala

Hindi ka na nasanay
Kailan ka matututo?
Kailan ka matututo?
Kailan ka matututo?
Sa pinaggagagawa mo
Akala mo'y may kwenta pero wala pala...

Hindi ka pa kuntento
Hindi ka na nasanay
Kailan ka matututo
Sa paglapag ng sombrero
",Dong Abay
Akrostik,"

D - Di ako si Bamboo, Chito Parokya, Rico Rivermaya
O - O kaya naman sina Basti, Kevin Roy, Wency, Karl Roy
N - Noel Cabangon, Chikoy Pura, Pendong, Joey Ayala
G - Gary Granada, Ka Freddie, Mike Hanopol, Ely Buendia

A - At lalong di ako si Pepe, Florante, Yoyoy Villame, Heber Bartolome
B - Bobby Balingit, Binky Lampano, Jack Sikat, Jett Pangan, Jun Lopito, Jess Santiago, Pol Galang, Popong Landero
A - Alexander Cynthia, Coritha, Lolita, Sampaguita, Bayang Barrios, Susan Fernandez, Grace Nono, Cooky Chua
Y - Yan o, yan o, yan ako, ako ay sino ba?
Yan o, yan o, yan ako, ako ay sino ba?
Yan o, yan o, yan ako, ako ay sino ba?
Yan o, yan o, yan ako, ako ay sino ba?
",Dong Abay
Aba-Aba,"

Kasalanan ko kung bakit ka nagkaganyan
Kasalanan kong aba abang kalagayan

Ako'y hindi marunong lumingon sa pinanggalingan
Kaya walang mararating walang paroroonan

Ako'y laging naglalakad nang napakatulin
Kaya ako'y matitinik nang napakalalim

Kasalanan ko kung bakit ka nagkaganyan
Bakit ka aba aba ang kalagayan

Kasalanan ko kung bakit ka nagkaganyan
Kasalanan ko aba abang kalagayan

Ang kapalaran ko'y hindi ko hahanapin
Kaya't di dudulog lalapit ang talagang sa akin

Ako'y hindi naghahangad ng anumang kagitna
Kaya ni isang salop walang mawawala

Kasalanan ko kung bakit ka nagkaganyan
Bakit ka aba aba ang kalagayan

Kasalanan ko kung bakit ka nagkaganyan
Kasalanan ko aba abang kalagayan

Kasalanan ko kung bakit ka nagkaganyan
Bakit ka aba aba ang kalagayan

Kasalanan ko kung bakit ka nagkaganyan
Kasalanan ko aba abang kalagayan
",Dong Abay
Perpekto,"

Ikaw ay nagdaramdam
Puso ay nagdurugo
Hindi mo yata alam
Kung san ka patungo
Ikaw ay naliligaw
Isip ay nalilito
Ayaw mo ng gumalaw
Hindi ka sigurado

Ikaw ay napupuwing
Minsan nabubulagan
Mata ay nakapiring
Daan ay kadiliman
Ikaw ay nadadapa
Napipilayan din
Di makapagsalita
Anung ibig sabihin?

Wala, wala namang...
Wala namang perpektong tao

Ano ba ang epekto
Kung meron kang depekto?
Ano ba ang epekto
Kung meron kang depekto?
Ano ba ang epekto
Kung meron kang depekto?
Ano ba ang epekto
Kung meron kang depekto?

Ikaw ay nawawala
Minsan ay nawawalan
Di ka naniniwala
Puno ng alinlangan
Ikaw ay nanliliit
Ligtas ka ba sa rehas
Bakit ka nakapiit?
Bakit ka tumatakas?

Ikaw ay natatakot
Parang walang hangganan
Ang kirot ng bangungot
Di mo makalimutan
Ikaw ay nanlulumo
Bilang na ba ang araw?
Gusto mo ng sumuko
Mundo ay nagugunaw

Wala, wala namang...
Wala namang perpektong tao

Ano ba ang epekto
Kung meron kang depekto?
Ano ba ang epekto
Kung meron kang depekto?
Ano ba ang epekto
Kung meron kang depekto?
Ano ba ang epekto
Kung meron kang depekto?

Ikaw ay inaalon
Walang kalaban-laban
Tuluyang nalulunod
Tungo sa kalaliman
Ikaw ay nalulula
Agad kang nahuhulog
Babagsak sa lupa
At biglang madudurog

Ikaw ay nagdurusa
Kaya pa bang tumagal
Hindi na makahinga
Lalo pang nasasakal
Ikaw ay dumadaing
Dala mo ba ay sumpa
Para kang ililibing
At ipinagluluksa

Wala, wala namang...
Wala namang perpektong tao

Ano ba ang epekto
Kung meron kang depekto?
Ano ba ang epekto
Kung meron kang depekto?
Ano ba ang epekto
Kung meron kang depekto?
Ano ba ang epekto
Kung meron kang depekto?

Wala...
Wala namang...
Wala namang perpekto
Anu ba ang epekto
Kung meron kang depekto?
Wala namang perpektong tao...
",Dong Abay
Kukote,"

May araw na o laging gabi
Sa mata ng aking kukote
Sa mata ng ating kukote
Gaano man kadilim
Magliliwanag pa rin

Nakikita ba ang bahagharing itim?
Ang buwan na bulok, ang basag na bituin
Naririnig din sa buong papawirin
Bihag ang kulog, kidlat ay alipin

May ulap na, may gubat, may dagat pa
Sa mata ng aking kukote
Sa mata ng ating kukote
Langit ay liliparin
Kahit ang hangin ay may patalim

Punong taimtim ay lilim ng lagim
Pusod ay puntod, puso ay balong malalim
Pagsisid ny hindi pinagsisisihan
Paligid ay isang panaginip lang

Umaambon, umuulan, bumabagyo
Sa mata ng aking kukote
Sa mata ng ating kukote
Umiiyak ang Diyos
Sa halakhak pagkatapos

Nabasa ka kaya sa patak na bumuhos?
Bumaha ba ng luha sa pagpalakpak ng unos?
Lumubog man ang lupa, may ilog parin na aagos
Malaya ay malawak, malaya at di nakagapos

Sa mata ng ating kukote
Sa mata ng aking kukote
Sa mata ng ating kukote
Sa mata ng aking kukote
Sa mata ng ating kukote
Sa mata ng aking kukote
Sa mata ng ating kukote
",Dong Abay
Awit Ng Kambing,"

Halikayo magsilapit
Kahit na po ilang saglit
Pakinggan nyo itong awit
Na di na mauulit

Pero wag pong magagalit
Sa mga iguguhit
Ang hagupit na sinapit
Mapait masakit malupit

Si Juan ay seaman na nagbalik-bayan
Pagkatapos ng siyam na buwan
Inabutan sa tahanan
Matalik na kaibigan
Katalik ng kanyang asawa
Naghahalikan pa sila
Si Juan ay napamura
""Sa impyerno kayo magsama!""
Di nakapagpigil, gigil na gigil
Walang tigil pinagbabaril
Sa bandang huli
Sarili ang kinitil

Trahehehehehehehehehehehehehdya
Trahehehehehehehehehehehehehdya

Halikayo magsilapit
Kahit na po ilang saglit
Pakinggan nyo itong awit
Na di na mauulit

Pero wag pong magagalit
Sa mga iguguhit
Ang hagupit na sinapit
Mapait masakit malupit

Si Nene ginagahasa
Mula pagkabata ng ama-amahang siga
Nung isang gabi pinagtangkaan
Uli siyang pagsamantalahan
""Ayoko ko na, di ko na kaya""
Kaya si Nene ay nanlaban
Hayop na hayok
Tinaga ng gulok
Binuhusan ng gas
Saka sinilaban
Isa si Nene
Sa nasunog sa looban

Trahehehehehehehehehehehehehdya
Trahehehehehehehehehehehehehdya

Trahehehehehehehehehehehehehdya
Trahehehehehehehehehehehehehdya
Trahehehehehehehehehehehehehdya
Trahehehehehehehehehehehehehdya
",Dong Abay
Tuyo,"

Ok lang kung tuyo na ang buhok
Tulog ka na kapag inaantok
Ok lang kung tuyo na ang batok
Punas pawis para di amoy putok
Ok lang kung tuyo na ang mata
Tapos na yatang umiyak di ba?
Ok lang kung tuyo na ang paa
Di ka na magkakaalipunga

Pero ano kung tuyo na ang dugo
Kahit tiyan may di na kukulo
Ano kung tuyo na ang puso
Baka maglaho ang pagsuyo

Dehins ok!
Dehins ok!
Dehins ok!
Dehins ok!

Ok lang kung tuyo na ang laway
Magmumog ka muna bago magsuklay
Ok lang kung tuyo ng sinampay
May masusuot ka na mamaya sa lamay
Ok lang kung tuyo na ang sulat
Ang tinta e di na babakat
Ok lang kung tuyo na ang sugat
Wag ka lang magkakapeklat

Pero ano kung tuyo na ang gripo
Pa'no magsesepilyo sa lababo?
Ano kung tuyo na ang poso
Sa'n maglalaba ng bra ang lola mo?

Dehins ok!
Dehins ok!
Dehins ok!
Dehins ok!

Ok lang kung tuyo na ang ubas
May pulutan na tayong pasas
Ok lang kung tuyo na ang gatas
May palamang keso bukas
Ok lang kung tuyo na ang baka
May kakainin na tayong tapa
Ok lang kung tuyo na ang buwaya
May pabrika ng sinturon at bota

Pero ano kung tuyo na ang balon
Aasa ka na lang ba sa ambon
Ano kung tuyo na ang talon
Di na mag-eenjoy sa bakasyon
Ano kung tuyo na ang sapa
Mamamatay mga butete't palaka
Ano kung tuyo na ang lawa
Luluwa ang mga mata ng mga isda

Dehins ok!
Dehins ok!
Dehins ok!
Dehins ok!

Ok lang kung tuyo ang semento
Bawal ju-mingle sa pader na ito
Ok lang kung tuyo na ang espalto
Wala na ang swimming pool sa kanto
Ok lang kung tuyo na ang kable
Di ka na uli makukuryente
Ok lang kung tuyo ang kalye
Walang baha trapik na lang ang dyahe

Pero ano kung tuyo na ang gubat
Magugutom tayo nang nakahubad
Ano kung tuyo na ang dagat
Sa ibang planeta lumipat

Ok na ok
Ok na ok
Ok na ok
Ok na ok

Ok na ok
Ok na ok
Ok na ok
Ok na ok
",Dong Abay
Mateo Singko,"

Nakakadena si Amor
Nakahawla ang dama de noche
Walang trabaho, bagong layang si Ador
Reklamador
Kungdi ang magbilang ng poste

Mahirap maging mahirap
Mahirap maging mahirap
Mahirap maging mahirap
Maging mahirap
Maging mahirap

Hahagulgol ang batang kulang sa sustansya
Malutong na magmumura
Ang bungangerang ina
Uumbagan sya ng asawang sugarol
Na wala namang dalang delehensya

Mahirap maging mahirap
Mahirap maging mahirap
Mahirap maging mahirap
Maging mahirap
Maging mahirap

Mahirap maging mahirap
Mahirap maging mahirap
Mahirap maging mahirap
Maging mahirap
Maging mahirap

Sa ngalan ng mga ama at ina
Kasama ang mga anak nila
Espirito ng mga santo at santa
Espirito ng mga santo at santa
Espirito ng mga santo at santa
Espirito ng mga santo at santa
Espirito ng mga santo at santa
Espirito ng mga santo at santa
Espirito ng mga santo at santa
Espirito ng mga santo at santa
Espirito ng mga santo at santa
Espirito ng mga santo at santa
",Dong Abay
Dyad,"

Sa puso at damdamin hindi ka maglalaho
Lagi kang iisipin kahit nasa malayo
Wag sanang kalimutan kapag ako'y wala na
Na nagkasama minsan sa hirap at ginhawa

Ako ay nangangarap na lagi kang makita
Alam ko na mahirap mag-antay ng pag-asa
Makinig ka sana sa sasabihin ko
Ikaw ang alaala na maganda ang mundo

Para para para para para para sa iyo itong kantang ito
Sana sana sana sana sana sana makarating pa ako sa iyo
Para para para para para sa iyo

Ako ay nangangarap na lagi kang makita
Alam ko na mahirap mag-antay ng pag-asa
Makinig ka sana sa sasabihin ko
Ikaw ang alaala na masaya ang mundo

Para para para para para para sa iyo itong kantang ito
Sana sana sana sana sana sana makarating pa ako sa iyo
Para para para para para sa iyo

Para para para para para para sa iyo itong kantang ito
Sana sana sana sana sana sana makarating pa ako sa iyo

Para para para para para para sa iyo itong kantang ito
Sana sana sana sana sana sana makarating pa ako sa iyo
Makarating pa ako sa iyo
Para para para sa iyo
",Dong Abay
